timestamp_inicio_execucao,n_threads,repeticao,tipo,tempo_s,tamanho_matriz,n_tarefas,nucleos_fisicos,threads_logicas
2026-06-16T07:40:05,2,8,valida,0.543723,800,16,6,12
2026-06-16T07:40:05,4,4,valida,0.376633,800,16,6,12
2026-06-16T07:40:06,1,6,valida,0.595180,800,16,6,12
2026-06-16T07:40:06,6,9,valida,0.396021,800,16,6,12
2026-06-16T07:40:06,12,4,valida,0.408338,800,16,6,12
2026-06-16T07:40:07,8,25,valida,0.307390,800,16,6,12
2026-06-16T07:40:07,6,-3,warmup,0.331665,800,16,6,12
2026-06-16T07:40:07,12,1,valida,0.424434,800,16,6,12
2026-06-16T07:40:08,3,12,valida,0.324363,800,16,6,12
2026-06-16T07:40:08,8,14,valida,0.357756,800,16,6,12
2026-06-16T07:40:09,2,9,valida,0.407051,800,16,6,12
2026-06-16T07:40:09,1,26,valida,0.663086,800,16,6,12
2026-06-16T07:40:10,8,23,valida,0.445680,800,16,6,12
2026-06-16T07:40:10,12,15,valida,0.401453,800,16,6,12
2026-06-16T07:40:10,8,12,valida,0.359726,800,16,6,12
2026-06-16T07:40:11,8,17,valida,0.355758,800,16,6,12
2026-06-16T07:40:11,3,3,valida,0.319801,800,16,6,12
2026-06-16T07:40:11,12,-3,warmup,0.405954,800,16,6,12
2026-06-16T07:40:12,4,20,valida,0.318453,800,16,6,12
2026-06-16T07:40:12,4,3,valida,0.327098,800,16,6,12
2026-06-16T07:40:12,6,10,valida,0.336237,800,16,6,12
2026-06-16T07:40:13,1,-3,warmup,0.563243,800,16,6,12
2026-06-16T07:40:13,12,23,valida,0.420151,800,16,6,12
2026-06-16T07:40:14,8,13,valida,0.309621,800,16,6,12
2026-06-16T07:40:14,4,1,valida,0.327356,800,16,6,12
2026-06-16T07:40:14,12,21,valida,0.381886,800,16,6,12
2026-06-16T07:40:15,3,10,valida,0.322580,800,16,6,12
2026-06-16T07:40:15,4,-1,warmup,0.334229,800,16,6,12
2026-06-16T07:40:15,4,2,valida,0.336896,800,16,6,12
2026-06-16T07:40:16,2,25,valida,0.380012,800,16,6,12
